run,duration_s
cap1,281.3
cap1,281.3
cap1,281.4
cap1,286.1
cap1,286.2
cap1,286.3
cap1,286.5
cap1,291.8
cap1,296.4
cap1,296.5
cap1,301.0
cap1,376.1
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.0
cap2,10.1
cap2,10.2
cap2,10.4
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.1
cap2,15.3
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,20.1
cap2,25.1
cap2,25.1
cap2,25.1
cap2,25.1
cap2,30.1
cap2,30.1
cap2,30.1
cap2,30.1
cap2,30.1
cap2,35.1
cap2,35.1
cap2,40.2
cap2,45.2
cap2,50.2
cap2,55.2
cap2,55.2
cap2,65.3
cap2,95.4
cap2,100.4
cap2,100.4
cap2,105.4
cap2,110.4
cap2,115.5
cap2,130.5
cap2,150.6
cap2,155.8
cap2,185.7
cap2,381.3
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.0
cap3_fixed,10.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,15.1
cap3_fixed,20.1
