ts,sglang:token_usage,sglang:full_token_usage,sglang:cache_hit_rate,sglang:num_running_reqs,sglang:num_queue_reqs,sglang:num_retracted_reqs,sglang:max_total_num_tokens,sglang:num_used_tokens,sglang:new_token_ratio,sglang:generation_tokens_total,sglang:cached_tokens_total,sglang:evicted_tokens_total,sglang:prompt_tokens_total,ttft_p50,ttft_p90,ttft_p99,e2e_p50,e2e_p90,e2e_p99,itl_p50,itl_p90,itl_p99
1789228394.576,0.3448024292136604,0.3448024292136604,0.0,1.0,0.0,0.0,101432.0,34974.0,0.098,212602.0,5580861.0,2804446.0,8271136.0,,,,,,,,,
1789228399.596,0.34716854641533246,0.34716854641533246,0.0,1.0,0.0,0.0,101432.0,35214.0,0.098,212602.0,5580861.0,2804446.0,8271136.0,,,,,,,,,
1789228404.616,0.4741205931067119,0.4741205931067119,0.8072289156626506,1.0,0.0,0.0,101432.0,48091.0,0.098,212602.0,5580861.0,2809938.0,8271136.0,,,,,,,,,
1789228409.635,0.5436154270841549,0.5436154270841549,0.0,2.0,0.0,0.0,101432.0,55140.0,0.098,212602.0,5580861.0,2816281.0,8271136.0,,,,,,,,,
1789228414.654,0.5475589557536084,0.5475589557536084,0.0,2.0,0.0,0.0,101432.0,55540.0,0.098,212602.0,5580861.0,2816281.0,8271136.0,,,,,,,,,
1789228419.672,0.5522911901569525,0.5522911901569525,0.0,2.0,0.0,0.0,101432.0,56020.0,0.098,212602.0,5580861.0,2816281.0,8271136.0,,,,,,,,,
1789228424.692,0.357027368088966,0.357027368088966,0.0,1.0,0.0,0.0,101432.0,36214.0,0.098,213303.0,5589437.0,2816281.0,8290627.0,,,,,,,,,
1789228429.709,0.5795113967978547,0.5795113967978547,0.0,2.0,0.0,0.0,101432.0,58781.0,0.098,213303.0,5589437.0,2820690.0,8290627.0,,,,,,,,,
1789228434.728,0.5842436312011988,0.5842436312011988,0.0,2.0,0.0,0.0,101432.0,59261.0,0.098,213303.0,5589437.0,2820690.0,8290627.0,,,,,,,,,
1789228439.749,0.36294266109314616,0.36294266109314616,0.0,1.0,0.0,0.0,101432.0,36814.0,0.098,213764.0,5608765.0,2820690.0,8312894.0,,,,,,,,,
1789228444.768,0.5914997239529931,0.5914997239529931,0.0,2.0,0.0,0.0,101432.0,59997.0,0.098,213764.0,5608765.0,2821842.0,8312894.0,,,,,,,,,
1789228449.785,0.5962319583563372,0.5962319583563372,0.0,2.0,0.0,0.0,101432.0,60477.0,0.098,213764.0,5608765.0,2821842.0,8312894.0,,,,,,,,,
1789228454.804,0.509444751163341,0.509444751163341,0.0,1.0,0.0,0.0,101432.0,51674.0,0.098,214267.0,5630653.0,2839165.0,8335692.0,,,,,,,,,
1789228459.823,0.6268928937613376,0.6268928937613376,0.0,2.0,0.0,0.0,101432.0,63587.0,0.098,214267.0,5630653.0,2850898.0,8335692.0,,,,,,,,,
1789228464.842,0.370829718432053,0.370829718432053,0.0,1.0,0.0,0.0,101432.0,37614.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228469.86,0.3728014827667797,0.3728014827667797,0.0,1.0,0.0,0.0,101432.0,37814.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228474.88,0.3751675999684518,0.3751675999684518,0.0,1.0,0.0,0.0,101432.0,38054.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228479.9,0.37753371717012385,0.37753371717012385,0.0,1.0,0.0,0.0,101432.0,38294.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228484.92,0.37989983437179586,0.37989983437179586,0.0,1.0,0.0,0.0,101432.0,38534.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228489.942,0.38226595157346793,0.38226595157346793,0.0,1.0,0.0,0.0,101432.0,38774.0,0.098,214391.0,5630653.0,2850898.0,8361869.0,,,,,,,,,
1789228494.961,0.38919670321003236,0.38919670321003236,0.0,0.0,0.0,0.0,101432.0,39477.0,0.7,219191.0,5664543.0,2856698.0,8395976.0,,,,,,,,,
1789228499.981,0.39319938480952754,0.39319938480952754,0.0,1.0,0.0,0.0,101432.0,39883.0,0.7,219345.0,5698647.0,2856698.0,8435453.0,,,,,,,,,
1789228505.0,0.3955655020111996,0.3955655020111996,0.0,1.0,0.0,0.0,101432.0,40123.0,0.7,219345.0,5698647.0,2856698.0,8435453.0,,,,,,,,,
1789228510.019,0.3979316192128717,0.3979316192128717,0.0,1.0,0.0,0.0,101432.0,40363.0,0.7,219345.0,5698647.0,2856698.0,8435453.0,,,,,,,,,
1789228515.038,0.40029773641454375,0.40029773641454375,0.0,1.0,0.0,0.0,101432.0,40603.0,0.7,219345.0,5698647.0,2856698.0,8435453.0,,,,,,,,,
1789228520.06,0.1817178010884139,0.1817178010884139,0.0,0.0,0.0,0.0,101432.0,18432.0,0.7,220146.0,5738117.0,2876839.0,8475303.0,,,,,,,,,
1789228525.081,0.3230538686016247,0.3230538686016247,0.0,0.0,0.0,0.0,101432.0,32768.0,0.7,220146.0,5738117.0,2891236.0,8475303.0,,,,,,,,,
1789228530.095,0.444199069327234,0.444199069327234,0.0,0.0,0.0,0.0,101432.0,45056.0,0.7,220146.0,5738117.0,2903524.0,8475303.0,,,,,,,,,
1789228535.115,0.5249625364776402,0.5249625364776402,0.0,0.0,0.0,0.0,101432.0,53248.0,0.7,220146.0,5738117.0,2911716.0,8475303.0,,,,,,,,,
1789228540.128,0.6250788705733891,0.6250788705733891,0.0,0.0,0.0,0.0,101432.0,63403.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228545.141,0.6265774114677813,0.6265774114677813,0.0,1.0,0.0,0.0,101432.0,63555.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228550.162,0.6289435286694535,0.6289435286694535,0.0,1.0,0.0,0.0,101432.0,63795.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228555.182,0.6309152930041801,0.6309152930041801,0.0,1.0,0.0,0.0,101432.0,63995.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228560.195,0.6332814102058522,0.6332814102058522,0.0,1.0,0.0,0.0,101432.0,64235.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228565.212,0.635253174540579,0.635253174540579,0.0,1.0,0.0,0.0,101432.0,64435.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228570.231,0.6372249388753056,0.6372249388753056,0.0,1.0,0.0,0.0,101432.0,64635.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228575.252,0.6395910560769776,0.6395910560769776,0.0,1.0,0.0,0.0,101432.0,64875.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228580.263,0.6415628204117044,0.6415628204117044,0.0,1.0,0.0,0.0,101432.0,65075.0,0.7,220146.0,5738117.0,2921179.0,8475303.0,,,,,,,,,
1789228585.284,0.7838749112706049,0.7838749112706049,0.0,1.0,0.0,0.0,101432.0,79510.0,0.098,220146.0,5738117.0,2937591.0,8475303.0,,,,,,,,,
1789228590.298,0.9033539711333701,0.9033539711333701,0.0,2.0,0.0,0.0,101432.0,91629.0,0.098,220146.0,5738117.0,2949139.0,8475303.0,,,,,,,,,
1789228595.322,0.9074059468412335,0.9074059468412335,0.0,2.0,0.0,0.0,101432.0,92040.0,0.098,220296.0,5738117.0,2949139.0,8501716.0,,,,,,,,,
1789228600.343,0.9118226989510214,0.9118226989510214,0.0,2.0,0.0,0.0,101432.0,92488.0,0.098,220401.0,5764528.0,2949139.0,8528294.0,,,,,,,,,
1789228605.361,0.6486611720167206,0.6486611720167206,0.0,1.0,0.0,0.0,101432.0,65795.0,0.098,220613.0,5791104.0,2949139.0,8555027.0,,,,,,,,,
